"Year,""District"",""Code"",""Location"",""Robbery"",""Street_robbery"",""Injury"",""Agg_assault"",""Threat"",""Theft"",""Car"",""From_car"",""Bike"",""Burglary"",""Fire"",""Arson"",""Damage"",""Graffiti"",""Drugs"",""Local"""
"2012,""Marzahn-Hellersdorf"",100204,""Hellersdorf-Nord"",68,37,652,143,175,1576,46,230,133,28,57,16,640,173,70,1199"
"2012,""Marzahn-Hellersdorf"",100205,""Hellersdorf-Ost"",26,11,289,70,101,598,21,89,122,10,30,5,336,86,21,630"
"2012,""Marzahn-Hellersdorf"",100206,""Hellersdorf-Süd"",20,10,223,44,95,704,35,119,78,26,20,3,322,97,15,541"
"2012,""Marzahn-Hellersdorf"",100307,""Biesdorf"",20,10,141,31,55,1153,36,213,192,97,9,1,213,45,21,287"
"2012,""Marzahn-Hellersdorf"",100408,""Kaulsdorf"",21,9,110,15,39,465,17,89,89,77,2,1,150,27,8,251"
"2012,""Marzahn-Hellersdorf"",100409,""Mahlsdorf"",6,4,89,20,49,607,20,117,89,97,4,2,268,87,23,250"
"2012,""Marzahn-Hellersdorf"",109900,""Bezirk (Mz-Hd), nicht zuzuordnen"",10,3,90,21,16,217,3,10,11,0,1,0,118,90,5,125"
"2012,""Lichtenberg"",110101,""Malchow, Wartenberg und Falkenberg"",2,1,26,4,20,178,3,21,11,10,11,5,54,13,5,55"
"2012,""Lichtenberg"",110102,""Neu-Hohenschönhausen Nord"",27,11,328,53,93,826,30,103,152,19,15,7,276,56,40,765"
"2012,""Lichtenberg"",110103,""Neu-Hohenschönhausen Süd"",30,12,330,84,81,1027,42,128,99,30,20,3,290,35,21,718"
"2012,""Lichtenberg"",110204,""Alt-Hohenschönhausen Nord"",11,4,134,34,42,770,18,120,40,59,7,3,150,30,12,314"
"2012,""Lichtenberg"",110205,""Alt-Hohenschönhausen Süd"",26,10,234,48,74,1243,59,266,146,70,12,6,334,72,13,647"
"2012,""Lichtenberg"",110306,""Fennpfuhl"",26,14,284,77,90,1232,67,243,187,89,17,8,419,90,22,748"
"2012,""Lichtenberg"",110307,""Alt-Lichtenberg"",25,10,350,81,119,2071,58,328,194,76,26,11,377,75,35,818"
"2012,""Lichtenberg"",110308,""Frankfurter Allee Süd"",19,6,67,18,16,578,24,96,111,25,6,2,105,12,52,200"
"2012,""Lichtenberg"",110409,""Neu Lichtenberg"",27,16,284,68,95,1286,53,150,174,83,30,9,428,128,62,734"
"2012,""Lichtenberg"",110410,""Friedrichsfelde Nord"",22,15,174,43,41,683,30,159,39,38,7,2,202,64,24,379"
"2012,""Lichtenberg"",110411,""Friedrichsfelde Süd"",28,9,159,34,54,790,41,142,88,60,10,3,225,61,17,402"
"2012,""Lichtenberg"",110512,""Rummelsburger Bucht"",4,0,18,6,7,227,4,69,48,7,16,6,67,20,2,60"
"2012,""Lichtenberg"",110513,""Karlshorst"",8,3,95,18,41,694,15,137,124,63,8,2,180,60,24,273"
"2012,""Lichtenberg"",119900,""Bezirk (Lb), nicht zuzuordnen"",5,1,87,18,16,306,1,17,5,3,2,0,248,180,6,139"
"2012,""Reinickendorf"",121031,""Ost 1 - Reginhardstr."",60,21,400,101,169,1119,38,205,179,110,11,4,337,34,137,939"
"2012,""Reinickendorf"",121032,""Ost 2 - Alt-Reinickendorf"",50,18,290,63,128,1525,37,301,215,79,22,10,324,53,149,721"
"2012,""Reinickendorf"",122141,""West 1 - Tegel-Süd/Flughafensee"",11,3,271,73,111,1556,36,406,68,105,12,1,285,27,312,644"
"2012,""Reinickendorf"",122144,""West 4 - Auguste-Viktoria-Allee"",49,19,376,96,169,1353,27,205,107,103,15,8,328,47,86,867"
"2012,""Reinickendorf"",122145,""West 5 - Tegel/Tegeler Forst"",24,14,233,67,61,1041,9,109,106,32,7,0,219,47,34,434"
"2012,""Reinickendorf"",122242,""West 2 - Heiligensee/Konradshöhe"",8,3,89,10,64,567,43,175,93,96,11,6,299,114,24,284"
"2012,""Reinickendorf"",122311,""Nord 1 - Frohnau/Hermsdorf"",20,8,116,30,72,1059,50,293,250,155,7,4,250,57,40,340"
"2012,""Reinickendorf"",123012,""Nord 2 - Waidmannslust/Wittenau/Lübars"",38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672"
"2012,""Reinickendorf"",123021,""MV 1 - Märkisches Viertel"",51,21,490,126,199,2013,65,305,173,99,74,18,505,72,76,1306"
"2012,""Reinickendorf"",123022,""MV 2 - Rollbergsiedlung"",9,2,103,21,32,429,8,75,30,29,7,1,101,10,18,229"
"2012,""Reinickendorf"",123043,""West 3 - Borsigwalde/Freie Scholle"",15,9,145,37,59,618,24,123,121,67,5,2,167,20,40,328"
"2012,""Reinickendorf"",129900,""Bezirk (Rd), nicht zuzuordnen"",2,1,31,10,12,154,2,11,3,0,6,5,124,73,5,51"
"2013,""Mitte"",10111,""Tiergarten Süd"",88,60,522,148,124,2652,17,392,149,62,14,3,263,28,114,974"
"2013,""Mitte"",10112,""Regierungsviertel"",53,25,480,120,128,3862,23,337,254,33,5,1,355,130,67,862"
"2013,""Mitte"",10113,""Alexanderplatz"",237,149,1442,354,333,10165,85,760,926,281,47,20,1301,448,590,3029"
"2013,""Mitte"",10114,""Brunnenstraße Süd"",41,14,226,51,68,2503,101,244,358,137,8,3,366,134,92,1003"
"2013,""Mitte"",10221,""Moabit West"",94,47,597,156,231,2441,76,463,336,139,47,12,532,88,209,1342"
"2013,""Mitte"",10222,""Moabit Ost"",76,37,496,122,181,2536,82,446,353,128,35,16,418,59,362,1188"
"2013,""Mitte"",10331,""Osloer Straße"",125,64,814,210,253,3540,26,378,279,166,28,8,441,55,366,1674"
"2013,""Mitte"",10332,""Brunnenstraße Nord"",126,58,667,164,200,3248,102,521,269,196,36,13,454,84,299,1597"
"2013,""Mitte"",10441,""Parkviertel"",87,38,712,206,269,2924,74,566,290,154,32,16,541,81,236,1722"
"2013,""Mitte"",10442,""Wedding Zentrum"",160,76,1156,341,382,3307,48,603,319,201,70,25,822,127,526,2388"
"2013,""Mitte"",19900,""Bezirk (Mi), nicht zuzuordnen"",9,5,403,94,64,2136,4,43,14,0,6,4,251,158,3,521"
"2013,""Friedrichshain-Kreuzberg"",20101,""Südliche Friedrichstadt"",125,76,693,185,243,3394,57,700,345,186,45,15,639,84,265,1703"
"2013,""Friedrichshain-Kreuzberg"",20202,""Tempelhofer Vorstadt"",143,81,869,242,282,5097,142,618,935,338,35,14,805,187,352,2051"
"2013,""Friedrichshain-Kreuzberg"",20303,""nördliche Luisenstadt"",140,108,556,192,115,2805,38,165,351,103,27,4,510,120,208,1202"
"2013,""Friedrichshain-Kreuzberg"",20304,""südliche Luisenstadt"",210,169,562,199,90,2474,66,169,371,119,32,13,468,137,767,1239"
"2013,""Friedrichshain-Kreuzberg"",20405,""Karl-Marx-Allee-Nord"",31,18,214,63,66,1361,62,189,184,56,14,2,255,27,27,634"
"2013,""Friedrichshain-Kreuzberg"",20407,""Karl-Marx-Allee-Süd"",87,62,492,144,107,2844,53,304,267,68,15,3,530,117,219,1172"
"2013,""Friedrichshain-Kreuzberg"",20506,""Frankfurter Allee Nord"",33,19,298,71,77,1769,82,150,395,76,33,13,440,55,64,862"
"2013,""Friedrichshain-Kreuzberg"",20508,""Frankfurter Allee Süd FK"",124,80,897,297,156,4070,96,333,660,144,61,26,1270,308,468,2148"
